Disaster_Type,Location,Magnitude,Fatalities,Economic_Loss($),Month,Year,cluster
Hurricane,China,6.896664400909083,8956,237191816.30319077,1,2024,3
Flood,Brazil,5.551984641951059,2263,125198816.0385722,1,2024,0
Hurricane,Japan,6.104293091226247,856,36719660.86813793,1,2024,3
Wildfire,Brazil,9.55828459759798,4946,371790741.32691616,1,2024,2
Earthquake,Japan,4.653539587428651,3459,533489978.7625953,1,2024,0
Hurricane,China,9.728581333095969,3720,744204758.6507398,1,2024,3
Flood,Indonesia,5.489677540384725,1244,34230186.62204816,1,2024,0
Tornado,Brazil,5.486963915349432,1175,709471742.0976558,1,2024,2
Tornado,China,2.3058269657237123,8778,390260203.3986024,1,2024,2
Tornado,Japan,4.66563277972036,1715,555275050.8795121,1,2024,2
Flood,China,7.327488742338145,7056,784704507.8388357,1,2024,0
Hurricane,Indonesia,6.9816267312286815,3267,126603026.3572438,1,2024,3
Hurricane,Brazil,1.150600310922632,9842,929421240.7850996,1,2024,3
Tornado,Brazil,6.69650995129891,1458,178748896.45753253,1,2024,2
Earthquake,India,8.16447946441236,8312,21404091.57628989,1,2024,0
Wildfire,Brazil,9.44919392391293,2856,985168936.4381572,1,2024,2
Flood,Indonesia,1.422323379758564,9013,956994895.5916824,1,2024,0
Hurricane,Japan,3.263131098966721,6848,105955580.09590104,1,2024,3
Tornado,India,7.816876537545329,4279,186332671.8350763,1,2024,2
Earthquake,India,8.868929825479189,5909,433968691.8764112,1,2024,0
Earthquake,Brazil,9.26508557402309,5147,825553164.9786,1,2024,0
Earthquake,Japan,9.760155015215911,1915,515313106.0669636,1,2024,0
Hurricane,China,4.132590790657515,9349,539999950.6023734,1,2024,3
Hurricane,USA,4.477801955339826,2754,422650507.5176937,1,2024,3
Flood,Indonesia,5.258579682466716,7292,488571360.4544364,1,2024,0
Wildfire,India,1.8274137126659684,4016,86243283.53234346,1,2024,2
Hurricane,Japan,1.1447311162126252,5765,56743978.011612415,1,2024,3
Earthquake,Indonesia,6.664648902172859,1016,485222395.1922954,1,2024,0
Wildfire,India,4.792581085785431,9618,340304706.6870181,1,2024,2
Wildfire,USA,8.852628279170467,1798,941323423.6767006,1,2024,2
Tornado,Indonesia,4.73258581311239,6310,361735472.6081992,1,2024,2
Flood,India,5.922554136724671,2886,528332799.4796087,1,2024,0
Tornado,Indonesia,7.41704002542538,5322,420024041.422966,1,2024,2
Earthquake,China,7.675280480855436,1202,226324432.4079753,1,2024,0
Wildfire,India,7.155038557799708,2007,925584134.6773572,1,2024,2
Earthquake,Brazil,7.116270493264123,7581,389971838.8047822,1,2024,0
Earthquake,Japan,8.495923160973515,8822,808651443.7341809,1,2024,0
Flood,Indonesia,3.3932877462627227,6476,159992157.4590084,1,2024,0
Flood,China,2.735551735144268,2441,815069655.5630566,1,2024,0
Tornado,China,9.468281153615091,7354,296997653.06035244,1,2024,2
Flood,Japan,2.6514904782404853,4308,812686344.7547139,1,2024,0
Flood,China,6.638911375608296,6532,348700270.5737659,1,2024,0
Hurricane,China,6.628269611607776,8209,805231284.4091353,1,2024,3
Hurricane,Indonesia,3.3841611481428875,4901,68082418.98159117,1,2024,3
Hurricane,China,5.91323886306123,6925,959436227.5291651,1,2024,3
Tornado,Brazil,1.419720195511737,3540,916015803.0294564,1,2024,2
Tornado,China,2.2815456144046835,1989,189392059.25299987,1,2024,2
Flood,Brazil,7.516481676053277,9914,914663694.2502426,1,2024,0
Flood,Brazil,1.6838375081379489,7394,123276430.2786956,1,2024,0
Tornado,Brazil,5.407125582358597,5890,359774108.2759241,1,2024,2
Tornado,India,1.527597020770438,1043,785380625.5944949,1,2024,2
Earthquake,Brazil,6.872804923361088,4063,869049597.80856,1,2024,0
Flood,USA,6.101049480937973,530,434977445.7155564,1,2024,0
Hurricane,China,2.053683904026091,368,887367502.1960772,1,2024,3
Earthquake,Japan,8.346805321679732,3325,647130898.8052177,1,2024,0
Earthquake,Japan,4.772379153535389,4239,137716353.492628,1,2024,0
Earthquake,Indonesia,9.975996423902044,1817,111831975.4169087,1,2024,0
Wildfire,China,4.358859576275695,5204,578486296.462094,1,2024,2
Earthquake,Indonesia,9.05519773594075,9473,701292827.1433696,1,2024,0
Hurricane,Japan,1.3394033482397418,8745,650653426.5763434,1,2024,3
Wildfire,India,7.374062268121253,6882,346636276.0377727,1,2024,2
Hurricane,India,4.6033499505185445,7018,26499484.42090542,1,2024,3
Wildfire,Indonesia,9.23138133432629,2770,876111647.0186605,1,2024,2
Earthquake,Japan,3.524548102821275,4838,866641393.7453916,1,2024,0
Wildfire,China,2.704069671793147,6511,751293495.4789746,1,2024,2
Wildfire,Brazil,1.0953903779252654,3592,64661427.903588966,1,2024,2
Hurricane,Brazil,9.685262922453044,9822,699755651.3834829,1,2024,3
Tornado,Brazil,2.0218510099535814,9214,253615491.92625916,1,2024,2
Tornado,Japan,6.095448585380835,149,280205277.10186887,1,2024,2
Flood,Indonesia,5.050843581026077,8655,798763257.1758927,1,2024,0
Hurricane,Brazil,4.967642141027701,7479,366853513.1677553,1,2024,3
Tornado,Brazil,6.151683173461397,7945,351506060.3929237,1,2024,2
Flood,Japan,2.5811514102399205,4498,455668741.3812915,1,2024,0
Tornado,Brazil,4.369512173322407,3481,686864394.4843363,1,2024,2
Earthquake,Brazil,4.8826872969626605,6290,302196217.4925131,1,2024,0
Flood,Indonesia,1.8785501494500012,7141,794402551.6514747,1,2024,0
Tornado,USA,6.1121142457285895,356,694074230.6552773,1,2024,2
Earthquake,Brazil,2.134896565686996,8749,769133943.7505946,1,2024,0
Wildfire,Indonesia,4.889894058883268,6058,267702394.50212604,1,2024,2
Flood,India,4.413747172322083,2659,659617969.5058589,1,2024,0
Hurricane,India,5.866977795266464,1632,563151545.4223472,1,2024,3
Tornado,China,3.616343002808046,9576,499838912.5535246,1,2024,2
Earthquake,Brazil,3.879661479044658,4768,997541934.9207432,1,2024,0
Earthquake,India,8.85704814464599,1162,264646117.771069,1,2024,0
Wildfire,India,7.392052825571328,3358,345640696.3783853,1,2024,2
Hurricane,China,4.351117747632754,4928,808158355.3682438,1,2024,3
Flood,Indonesia,1.649264206051229,9729,628163034.4932956,1,2024,0
Hurricane,China,7.090734096955552,690,146746828.56088573,1,2024,3
Hurricane,China,7.815379428505033,3442,544709175.3484691,1,2024,3
Earthquake,Japan,8.422013012898388,3528,789667706.4060827,1,2024,0
Wildfire,Japan,6.714231047797365,7376,636305399.0446793,1,2024,2
Earthquake,Indonesia,4.626214844421368,6340,301356054.250849,1,2024,0
Flood,Indonesia,6.598528625457069,4042,301089552.6826132,1,2024,0
Wildfire,India,3.109969756964225,3503,895613135.2836335,1,2024,2
Tornado,USA,4.336670702915722,2242,593644905.3817499,1,2024,2
Tornado,USA,2.8964435880638097,4093,932813611.1089646,1,2024,2
Flood,Japan,7.194981714242688,3070,25930266.96423501,1,2024,0
Earthquake,Indonesia,8.532080114903112,6006,387075318.9636676,1,2024,0
Wildfire,India,5.3632521616156765,4651,112483134.84867851,1,2024,2
Tornado,Japan,1.591874619549991,3589,748507143.3742104,1,2024,2
Earthquake,Brazil,1.3378465509895587,4554,458843599.5843644,1,2024,0
Hurricane,Brazil,8.506991021311308,9324,182221504.34839445,1,2024,3
Hurricane,USA,9.94405222123942,5556,614169230.472765,1,2024,3
Tornado,Indonesia,5.974414315263447,7111,653329513.6316326,1,2024,2
Hurricane,China,4.317610561082712,1372,495705646.48193127,1,2024,3
Hurricane,India,5.012684530215269,1174,495277987.3797848,1,2024,3
Earthquake,Indonesia,9.047110534773164,4839,645862920.5267754,1,2024,0
Tornado,India,9.09284602496822,2211,107092895.95098162,1,2024,2
Wildfire,India,5.322664734717208,8764,726870765.3453792,1,2024,2
Tornado,Japan,8.545265980963684,5942,121478028.39819096,1,2024,2
Tornado,USA,8.183347026442524,2697,398593722.8242968,1,2024,2
Wildfire,Japan,1.561752192559374,1808,35577042.52094978,1,2024,2
Earthquake,China,6.763275768142148,6915,135454671.6940448,1,2024,0
Wildfire,Japan,9.482560097617252,2474,767014766.6610676,1,2024,2
Flood,India,9.424886162811772,3068,112441465.56063464,1,2024,0
Earthquake,Indonesia,4.472710801851562,3921,939728784.4480282,1,2024,0
Earthquake,Brazil,8.487854395193095,2962,381301684.2045738,1,2024,0
Flood,India,1.5534064694191798,5875,942232993.2425016,1,2024,0
Earthquake,China,1.6137971052806472,1060,113948702.52567188,1,2024,0
Hurricane,India,1.395693572378897,232,480003291.6998941,1,2024,3
Hurricane,India,6.268774983607952,3464,390997401.7089696,1,2024,3
Tornado,USA,8.955033759033473,891,447236758.7452049,1,2024,2
Tornado,India,9.764176847532354,1968,456050961.56333816,1,2024,2
Hurricane,Japan,8.461211960874218,5655,919106217.567516,1,2024,3
Earthquake,USA,9.807741197617114,8523,288440280.8515072,1,2024,0
Earthquake,USA,8.688713597663316,4536,541617615.8117986,1,2024,0
Earthquake,Brazil,3.777846298448442,7961,779049842.0334027,1,2024,0
Flood,USA,2.665280053258485,9056,770854037.1755983,1,2024,0
Earthquake,Japan,6.18504565724108,3914,171906333.82664967,1,2024,0
Wildfire,China,9.335068697838231,1856,161170400.48422283,1,2024,2
Wildfire,Japan,9.105501634759786,1964,73798674.43118833,1,2024,2
Tornado,Brazil,6.932206023329222,4850,651897376.6637405,1,2024,2
Tornado,Japan,7.792206023784017,4321,643295361.2522192,1,2024,2
Flood,Indonesia,6.672606243241265,8994,61201633.256795295,1,2024,0
Tornado,India,8.278736153177384,1366,392032383.8324168,1,2024,2
Flood,Indonesia,9.862703245494956,9963,76166885.52698137,1,2024,0
Earthquake,Brazil,3.5375403307399065,2365,562281189.9036585,1,2024,0
Earthquake,China,7.9878258629792676,2723,212534336.55437687,1,2024,0
Earthquake,Indonesia,6.15566733721519,5993,569091884.5165241,1,2024,0
Earthquake,USA,3.3776978044612265,3301,587618407.9411032,1,2024,0
Hurricane,Indonesia,9.867049440403092,9050,506624283.7840291,1,2024,3
Wildfire,China,1.8522716300338269,278,285351798.9593244,1,2024,2
Wildfire,USA,8.936016698325922,909,763893966.7658374,1,2024,2
Wildfire,Indonesia,5.834604953137629,6076,839614033.7574636,1,2024,2
Hurricane,India,3.89771514667732,4666,858214422.5185747,1,2024,3
Earthquake,China,3.5319934064666936,9861,467669029.264292,1,2024,0
Wildfire,Japan,1.3628833252906372,7746,519504263.967385,1,2024,2
Wildfire,Japan,9.642785883759846,6830,967138779.66736,1,2024,2
Earthquake,China,6.047654712984095,7069,375842432.2200568,1,2024,0
Wildfire,Brazil,8.939447313637277,4419,255543524.56523463,1,2024,2
Hurricane,India,2.832463832681733,3541,438731959.52141696,1,2024,3
Flood,Indonesia,1.0924387301034182,7476,142709034.40725043,1,2024,0
Wildfire,India,3.8938711723213446,7636,370902045.9477739,1,2024,2
Earthquake,China,3.576145201348739,661,104314220.60558616,1,2024,0
Wildfire,China,4.611468981368809,6563,362262463.92384166,1,2024,2
Wildfire,India,3.574667436064516,2921,976470942.0364368,1,2024,2
Earthquake,China,4.912983400156064,918,799070372.6972487,1,2024,0
Earthquake,Indonesia,4.293376626295356,8445,867166824.6233245,1,2024,0
Earthquake,Indonesia,3.268411740152426,6101,328257220.7798191,1,2024,0
Wildfire,India,2.758619154052882,9961,775133641.2874465,1,2024,2
Tornado,China,8.62062464937648,8529,820465810.305378,1,2024,2
Tornado,Brazil,6.529288229086188,7540,983864955.6505156,1,2024,2
Hurricane,USA,1.6684357418865496,1625,947159414.9916556,1,2024,3
Hurricane,USA,5.09215879337693,4491,189067878.66288576,1,2024,3
Wildfire,Indonesia,4.72070950308575,8278,634138973.9045975,1,2024,2
Hurricane,Brazil,1.0236226910365973,1191,984361264.7589155,1,2024,3
Hurricane,China,7.856827117599084,6504,855335110.6441114,1,2024,3
Flood,Brazil,4.067840526577411,6642,276072969.40653515,1,2024,0
Wildfire,China,1.235975766100529,7701,515126230.3577781,1,2024,2
Wildfire,India,4.805046715602364,3877,9910183.131027604,1,2024,2
Tornado,China,7.032935428329518,6932,597336588.9537075,1,2024,2
Tornado,Brazil,1.731471704738523,297,857083843.8273361,1,2024,2
Wildfire,USA,2.4577904184654558,9921,995071682.6078398,1,2024,2
Hurricane,Brazil,8.950893369067959,3572,432674708.4076378,1,2024,3
Tornado,Brazil,2.644963294436704,3830,397027384.6124045,1,2024,2
Flood,Japan,2.8852260676177486,1092,351110190.93574256,1,2024,0
Hurricane,India,4.724378355924918,5315,223766335.49907985,1,2024,3
Wildfire,India,9.78541214029959,6360,418808633.16014767,1,2024,2
Flood,USA,7.953244849538768,4836,617781601.802871,1,2024,0
Earthquake,Indonesia,3.019393471784241,1386,668499785.0801094,1,2024,0
Tornado,Brazil,7.779694769401895,5715,978247493.5220876,1,2024,2
Flood,China,5.453182284090002,9446,695650408.0333422,1,2024,0
Wildfire,Indonesia,4.5378788889174135,119,417848475.5726754,1,2024,2
Tornado,Japan,4.144200422505772,7364,213260010.50043416,1,2024,2
Hurricane,USA,4.206678230049054,3265,918653731.8002048,1,2024,3
Tornado,USA,9.214580303965194,142,31326112.40496929,1,2024,2
Tornado,Brazil,9.022133069103978,3404,2103077.912341421,1,2024,2
Flood,Indonesia,8.68417477786923,737,382980916.4205869,1,2024,0
Tornado,Japan,3.802773097572336,3015,629099671.0814583,1,2024,2
Flood,Indonesia,9.784831187349225,5245,509508723.8447526,1,2024,0
Hurricane,India,4.3133784046169685,4847,537779388.07032,1,2024,3
Tornado,India,2.493311565633864,3935,827862095.1714988,1,2024,2
Hurricane,China,8.285457532647982,2093,169488095.84154755,1,2024,3
Tornado,Brazil,6.650050175241171,4010,688390455.1438683,1,2024,2
Wildfire,Japan,9.926282754276082,2372,641563406.3016031,1,2024,2
Flood,Japan,2.518336906603663,2757,206473370.18953136,1,2024,0
Hurricane,China,9.30945723732687,3000,574664280.965762,1,2024,3
Hurricane,China,6.957206868537989,6001,669316454.2068099,1,2024,3
Tornado,India,6.693814890041866,4869,658806077.772422,1,2024,2
Wildfire,India,5.829037785345699,2643,440059863.8790626,1,2024,2
Tornado,China,8.056837512498609,9083,37810503.0772353,1,2024,2
Earthquake,Brazil,7.459673661570076,5776,936690617.9350458,1,2024,0
Flood,USA,6.82013354905318,9409,759891760.4347435,1,2024,0
Hurricane,China,1.4576479388225838,120,506539444.884149,1,2024,3
Flood,Indonesia,6.388456515228929,6701,206951950.80426624,1,2024,0
Flood,Brazil,3.739268868428432,9748,841997740.2097708,1,2024,0
Hurricane,India,1.5181045897132457,1691,649250391.8675525,1,2024,3
Hurricane,Indonesia,7.2017703151402594,5043,857999870.5469533,1,2024,3
Earthquake,Brazil,3.3027481625702064,7322,598136683.8564942,1,2024,0
Tornado,Indonesia,7.763969804465459,9158,47797214.21698701,1,2024,2
Hurricane,China,6.92454429624258,2647,664035015.4767555,1,2024,3
Earthquake,USA,9.820985780536173,809,890625814.9456524,1,2024,0
Hurricane,Japan,5.389432375270779,2770,385775416.1172328,1,2024,3
Hurricane,USA,6.46700418179267,4625,355293705.0159227,1,2024,3
Earthquake,USA,3.168353748430983,1283,420538103.1623466,1,2024,0
Flood,India,7.108076474625135,3655,452226100.6560628,1,2024,0
Earthquake,India,9.51096289833177,3690,362617266.1795107,1,2024,0
Flood,India,1.7716991635609476,345,655184263.93014,1,2024,0
Flood,China,7.15268943155288,86,882065481.6963984,1,2024,0
Hurricane,USA,7.47928154155117,8691,264538787.20246372,1,2024,3
Wildfire,Japan,3.5447045473051846,6174,794006081.294784,1,2024,2
Tornado,USA,9.866386972862667,1933,577559884.3877194,1,2024,2
Hurricane,Brazil,3.6419145096179975,6593,68352381.31942658,1,2024,3
Earthquake,Indonesia,9.91551673354877,7679,413633204.4614706,1,2024,0
Flood,Indonesia,2.924298699687135,4201,541910903.6164203,1,2024,0
Earthquake,India,8.924503014662012,337,368445172.4278785,1,2024,0
Hurricane,USA,2.456683145238045,3711,169245973.51792836,1,2024,3
Tornado,China,9.523129872507283,9280,37340587.14364606,1,2024,2
Tornado,China,9.275046951237917,9337,193224974.27521488,1,2024,2
Wildfire,USA,6.784152192661672,9670,223456784.5692241,1,2024,2
Tornado,Brazil,7.685493715431554,3254,755444052.777003,1,2024,2
Tornado,Japan,7.081054198389404,4370,825425627.314705,1,2024,2
Flood,India,4.018108174253135,7747,128833422.89010526,1,2024,0
Hurricane,India,8.047145256517737,5827,670778831.2187536,1,2024,3
Earthquake,Japan,2.5273862492278343,2162,685346171.1904639,1,2024,0
Wildfire,India,4.951227461677653,3097,533022418.1073499,1,2024,2
Tornado,Brazil,6.25865615523666,2858,533028482.7061608,1,2024,2
Earthquake,Indonesia,6.336556038418661,3285,307211172.05499387,1,2024,0
Wildfire,USA,5.512470279324216,1227,370356636.1004609,1,2024,2
Earthquake,India,5.619289570027434,9267,784229966.2026821,1,2024,0
Flood,Brazil,9.01159743942999,6424,857899931.708222,1,2024,0
Flood,USA,3.628084191496853,4741,861231929.6258389,1,2024,0
Earthquake,USA,7.999677182806136,5187,585381611.3646582,1,2024,0
Earthquake,Japan,5.878673283058601,9125,850593240.0038278,1,2024,0
Flood,Japan,5.378543232461417,2975,654201453.9986043,1,2024,0
Hurricane,USA,7.098348963510192,6477,118348243.63559322,1,2024,3
Flood,Japan,1.8159155434684937,3898,242395239.2995866,1,2024,0
Tornado,Brazil,2.071351942461424,5986,33712494.76763847,1,2024,2
Hurricane,China,4.176928418806021,4063,726101843.1703068,1,2024,3
Flood,Indonesia,1.4620746984963064,9568,215890032.90131235,1,2024,0
Wildfire,China,5.059580423949267,1185,463939711.9507888,1,2024,2
Earthquake,Indonesia,5.228233733796181,6299,745113865.2823485,1,2024,0
Flood,India,1.9113919665335224,516,50525297.14424583,1,2024,0
Hurricane,Japan,1.569483867643572,8458,484974499.72680056,1,2024,3
Hurricane,USA,6.644512163004953,310,477279249.9441735,1,2024,3
Flood,USA,9.668984193604304,5232,935215915.1679,1,2024,0
Earthquake,Brazil,1.6548547344158169,3566,915869961.4526228,1,2024,0
Earthquake,China,9.450199760947458,1020,938210012.0193876,1,2024,0
Flood,Indonesia,4.213554801079457,9782,734018720.3321497,1,2024,0
Hurricane,Brazil,4.657979494832095,8085,728196689.4320416,1,2024,3
Tornado,Brazil,5.700962430613721,9308,662819603.810913,1,2024,2
Earthquake,Indonesia,2.636843281539992,119,97482315.23925932,1,2024,0
Flood,China,5.4476981948072485,3333,942941718.7290288,1,2024,0
Tornado,Indonesia,5.716667942442213,5981,735654370.3200238,1,2024,2
Tornado,Brazil,5.190270534967134,2007,66381267.58862943,1,2024,2
Hurricane,USA,6.8418134944528495,4835,53034150.16509541,1,2024,3
Hurricane,India,7.173168032383877,4996,816478872.0135833,1,2024,3
Hurricane,Brazil,3.038271292464421,2809,157279282.74436527,1,2024,3
Wildfire,India,9.898941415624044,675,956236630.0758048,1,2024,2
Tornado,USA,1.0271254117020234,2854,62747481.79669022,1,2024,2
Earthquake,India,3.3228018265646337,2696,625854349.2566488,1,2024,0
Earthquake,USA,9.737114095946238,4758,472723113.1894281,1,2024,0
Tornado,Brazil,9.6809141191616,2524,705223467.5049199,1,2024,2
Tornado,India,7.588165764849009,3263,737558516.7960124,1,2024,2
Flood,Brazil,1.1174756854569343,4702,700595665.8930215,1,2024,0
Wildfire,India,6.104071511752525,3181,958131875.186663,1,2024,2
Wildfire,Japan,1.6631863596088523,2709,711802847.4891521,1,2024,2
Tornado,Japan,7.603265140631869,5379,53363486.969092,1,2024,2
Earthquake,Japan,6.8583918569436495,6668,261374097.41060805,1,2024,0
Flood,Indonesia,5.50438760023952,3640,310261227.7422317,1,2024,0
Wildfire,USA,7.559112966272163,8398,362213064.9949492,1,2024,2
Wildfire,USA,8.922218896536084,2501,489724066.5085296,1,2024,2
Tornado,Brazil,6.533785406533797,3480,949932346.4589876,1,2024,2
Wildfire,Brazil,5.507404138216411,4221,749642503.8228364,1,2024,2
Flood,Brazil,7.889365127252343,3921,305020324.0770264,1,2024,0
Flood,India,1.7179080451744009,7699,985304555.12713,1,2024,0
Flood,Japan,7.836373033366576,5823,193207042.791766,1,2024,0
Tornado,China,6.749098498283617,4994,674573482.4647925,1,2024,2
Earthquake,USA,8.857394313422166,1926,782271649.3832299,1,2024,0
Tornado,China,1.80449837142752,6840,534164072.14378,1,2024,2
Wildfire,India,7.015125871903279,1676,2565450.0856325887,1,2024,2
Flood,China,5.795390889632794,2928,954476480.8284608,1,2024,0
Tornado,Brazil,3.177527393693894,8944,955154979.2863464,1,2024,2
Flood,India,3.83752131925574,3959,808637827.6739066,1,2024,0
Flood,Brazil,3.957383463973276,7333,428725021.4880528,1,2024,0
Flood,Japan,4.802806532251564,87,720278327.9253597,1,2024,0
Flood,Indonesia,6.113599594603642,9551,431254381.11823016,1,2024,0
Hurricane,Japan,1.1375874670650103,1264,170268599.93024078,1,2024,3
Tornado,India,4.937206040222488,7453,109740585.71205217,1,2024,2
Tornado,Indonesia,3.263584958763837,510,152326628.03443,1,2024,2
Earthquake,China,1.501420689310653,315,443353834.2110789,1,2024,0
Flood,Indonesia,7.306765471629758,7899,96356929.57419764,1,2024,0
Wildfire,Japan,3.175125691969628,1660,575170680.4408435,1,2024,2
Flood,India,5.416428319993326,8677,910468441.6223468,1,2024,0
Flood,Indonesia,9.987078422026729,6628,32783925.20632508,1,2024,0
Wildfire,Indonesia,1.5702950859258376,2949,678005951.914771,1,2024,2
Wildfire,Japan,2.264408211386195,3784,670747818.760166,1,2024,2
Wildfire,Japan,6.912911536480129,5843,785463746.3476566,1,2024,2
Flood,Brazil,6.726917629897827,1147,74216284.4601444,1,2024,0
Hurricane,USA,2.860352852519376,7794,411672199.4885953,1,2024,3
Wildfire,China,1.9403656780287448,7719,35475366.03317486,1,2024,2
Wildfire,USA,3.826550104187073,5710,520900332.5742253,1,2024,2
Earthquake,USA,9.875334954072589,757,608162299.5038264,1,2024,0
Wildfire,Japan,1.997913454943498,9741,73892568.11079603,1,2024,2
Wildfire,Japan,5.729892213295796,3711,913414319.455752,1,2024,2
Hurricane,India,3.0766301565586334,2088,723660044.5653763,1,2024,3
Tornado,China,2.6888426946928368,7310,890677374.9090669,1,2024,2
Tornado,Japan,9.026874753716289,4238,925906962.8731529,1,2024,2
Tornado,Indonesia,1.7498879856211988,695,119114192.94278143,1,2024,2
Tornado,Japan,3.286798029777995,7632,540369731.7254205,1,2024,2
Wildfire,USA,7.91070046910939,1635,980313582.1573569,1,2024,2
Earthquake,Brazil,1.964542912080112,9477,36576158.50975556,1,2024,0
Wildfire,Japan,4.596640090275365,3500,10377087.975145577,1,2024,2
Hurricane,Japan,8.053022143463288,4903,988887747.5565684,1,2024,3
Flood,Indonesia,3.456698421460984,2672,787863705.3671913,1,2024,0
Tornado,Brazil,9.139096459565891,2898,643117204.8757749,1,2024,2
Hurricane,Japan,9.564654186761942,1519,708984611.2011882,1,2024,3
Tornado,India,5.681586636319039,2645,883497845.6505374,1,2024,2
Hurricane,India,6.024111697239014,5981,927739792.3250468,1,2024,3
Tornado,USA,2.8429843866006284,1537,842906244.766652,1,2024,2
Earthquake,Japan,2.892146562645056,5411,611752834.5916578,1,2024,0
Earthquake,Japan,7.932020221299891,970,721252720.5901262,1,2024,0
Flood,India,7.4704035023700515,2451,83772252.09517439,1,2024,0
Earthquake,China,1.2526344876915627,6503,644091427.115694,1,2024,0
Hurricane,China,3.1725908041718824,9785,182720723.7933905,1,2024,3
Tornado,Japan,3.6478098348289096,1102,643671962.4512073,1,2024,2
Hurricane,Indonesia,2.964952037550935,9741,325890213.3766316,1,2024,3
Flood,China,4.378812325175409,8894,264766758.66093457,1,2024,0
Hurricane,USA,2.3576635021522088,6186,432237749.6929424,1,2024,3
Flood,Indonesia,2.821452154419705,5425,520949877.4340383,1,2024,0
Earthquake,USA,9.644448752838988,2921,90508675.54713058,1,2024,0
Hurricane,China,5.857796462073213,1407,508976777.2121752,1,2024,3
Wildfire,USA,3.3499850531529547,1341,558582311.6921877,1,2024,2
Flood,Indonesia,3.125359895566928,9190,876768723.7078215,1,2024,0
Flood,Indonesia,8.882773424433452,8626,852543067.6619835,1,2024,0
Wildfire,India,5.998476500654757,3903,828181967.9731315,1,2024,2
Tornado,China,4.848629491672459,8029,960674160.54132,1,2024,2
Flood,Brazil,7.5299293705688175,3468,986595965.6429424,1,2024,0
Flood,India,6.983376575933308,9487,35588408.936543286,1,2024,0
Tornado,India,3.734908460191227,8869,596817291.6448699,1,2024,2
Hurricane,India,6.852460510498292,8660,315116548.66560566,1,2024,3
Wildfire,Indonesia,9.185213529058226,2012,935573287.5495366,1,2024,2
Earthquake,USA,3.032996669700936,4236,153013490.34275857,1,2024,0
Earthquake,Brazil,4.4060766970409695,9040,942444920.369344,1,2024,0
Wildfire,Brazil,4.414418554072969,8561,805566741.5949812,1,2024,2
Flood,Brazil,1.3427717031928692,8225,863073868.11843,1,2024,0
Tornado,Indonesia,7.028506314787108,2942,96849883.2355017,1,2024,2
Flood,China,8.521532056769601,2615,484557747.727455,1,2024,0
Flood,China,9.591642853562815,2988,849361868.849541,1,2024,0
Hurricane,India,4.167777736773507,7249,51143192.06890689,1,2024,3
Hurricane,USA,5.173175035084018,4636,854865359.2534893,1,2024,3
Flood,USA,1.6565033481972409,6948,743276566.2794181,1,2024,0
Tornado,India,7.375800748681042,4290,428049488.7816852,1,2024,2
Tornado,USA,6.124371578761458,2818,537710304.4335635,1,2024,2
Hurricane,India,8.457559955408842,4189,208981190.20805675,1,2024,3
Earthquake,China,2.6127829933079134,4871,997589573.3265404,1,2024,0
